Area,Perimeter,Ratio_AP,Ratio_Ch,Ratio_LW,Ratio_WL,e,Cv,circul,label
491533.2716,3023.763249,162.556798,0.893393855,1.362571302,0.733906548,0.92129722,1.21665205,0.687295814,1
11000366.17,20205.35929,544.4281398,0.764984472,5.050421191,0.198003288,0.98466584,1.718533785,0.285720984,1
7112813.829,11275.20496,630.8367658,0.908152033,1.337866953,0.747458481,0.911685877,1.192610949,0.681395629,1
5161079.034,9129.787883,565.3010891,0.918301677,1.215574345,0.822656388,0.878416456,1.133666989,0.74026779,1
398091.6217,2903.952581,137.0861302,0.887515917,2.122095347,0.471232361,0.944453674,1.298353849,0.584564035,1
102403.2499,1396.086503,73.35021842,0.917225433,1.857510726,0.538354899,0.92619314,1.230695256,0.632691242,1
399310.4312,2723.422172,146.6208344,0.937467978,1.873905499,0.53364484,0.920976827,1.2157792,0.536289325,1
97153.37605,1279.84518,75.91025664,0.96005582,1.996262331,0.500936167,0.894435578,1.158306669,0.557322487,1
757055.1958,3604.714423,210.0180782,0.933826317,1.218441271,0.820720722,0.900188391,1.168697621,0.560944984,1
1639903.43,6431.434901,254.9825125,0.767548463,2.029567063,0.492715919,0.963740163,1.416751917,0.540142196,1
5212491.831,9289.076303,561.1421051,0.937255845,1.617651563,0.618180097,0.88801867,1.147743666,0.70474479,1
2437132.081,6722.673866,362.5242172,0.866333495,1.51457282,0.660252176,0.920607559,1.214779845,0.735629833,1
4430703.393,8010.40042,553.1188406,0.972516444,1.338029454,0.747367704,0.814898406,1.073526959,0.783993735,1
48249.17948,897.2721619,53.77318224,0.957324065,1.93311369,0.517300149,0.890876437,1.152323173,0.68414781,1
593027.4642,3023.143817,196.162505,0.973549244,1.642810815,0.608712818,0.856330216,1.10743048,0.713191053,1
187465.4612,1961.141477,95.58997316,0.942532365,2.859116978,0.349758337,0.939665009,1.277742559,0.492622428,1
546302.6374,3159.877045,172.8873085,0.907373902,1.860373548,0.537526456,0.917248572,1.206003598,0.690261309,1
522928.4616,3338.470656,156.6371298,0.882805881,2.085364049,0.479532579,0.945314331,1.302331339,0.537534892,1
156411.2247,1591.200128,98.29764464,0.962672712,1.925474519,0.519352497,0.879364626,1.134974005,0.709295868,1
482962.1099,2957.375632,163.3076653,0.912144809,1.804148294,0.554278162,0.915010363,1.200452632,0.669812159,1
