Area,Perimeter,Ratio_AP,Ratio_Ch,Ratio_LW,Ratio_WL,e,Cv,circul,label
14749.06209,621.3710032,23.73632179,0.722097765,1.184255245,0.844412557,0.966753138,1.443324052,0.582269539,0
21758.89513,624.4780426,34.84333098,0.959263049,1.837467806,0.544227222,0.912395499,1.194246071,0.633126167,0
6179.840391,326.3199886,18.93797685,0.96181522,1.445617649,0.691745844,0.90138589,1.170981721,0.633745873,0
15785.02535,592.4521922,26.64354282,0.868281323,1.451825229,0.688788141,0.950847319,1.330226934,0.577173356,0
4224.070208,315.1050524,13.40527604,0.909584237,3.141913388,0.318277392,0.95710521,1.36768118,0.49522914,0
23630.29846,750.0282429,31.50587819,0.968809211,3.312161528,0.301917642,0.958397528,1.37637914,0.473587592,0
3016.929428,306.7933986,9.833749491,0.856765886,4.586566988,0.218027994,0.97763596,1.575645462,0.428293649,0
1981.90732,268.5037017,7.381303526,0.877878258,4.88191366,0.204837707,0.983991783,1.701389211,0.389472107,0
6257.301643,315.8689096,19.80980544,0.953960773,1.335533526,0.748764431,0.872941041,1.126440881,0.761100871,0
5508.840531,317.5039574,17.35046258,0.918255833,1.583058953,0.631688414,0.91753913,1.206741117,0.652315642,0
2405.333081,273.3592444,8.799164947,0.942501241,4.451163312,0.224660371,0.977426095,1.572321023,0.392846185,0
6759.700194,459.7131616,14.70416938,0.949193507,3.960982308,0.252462627,0.977740347,1.577314474,0.39572426,0
13085.52244,669.0909074,19.55716674,0.974170369,4.837252472,0.206728924,0.981724946,1.65000273,0.388145167,0
5968.824032,623.3781347,9.574965338,0.631463204,6.236321887,0.160350928,0.995242918,2.276157161,0.236729738,0
19104.50622,993.7143606,19.22534983,0.723799426,5.900519718,0.169476597,0.992355526,2.028097013,0.307885383,0
4713.568478,485.7292114,9.704107488,0.844283428,6.256255713,0.159840014,0.991829431,1.995787876,0.31053191,0
2146.821379,202.670529,10.59266678,0.911867905,1.491911,0.67028127,0.927253268,1.233922016,0.633737764,0
6748.564554,345.9504247,19.50731686,0.957038853,1.820554293,0.549283262,0.909619617,1.187963871,0.649189073,0
4300.636171,289.1165332,14.87509595,0.975515711,2.348876217,0.425735504,0.930318128,1.243659936,0.568891581,0
3694.060187,279.8996827,13.19780055,0.986865694,2.655182976,0.376621878,0.944618499,1.299108698,0.504407489,0
14571.44235,542.2102548,26.87415485,0.936192803,2.469017407,0.405019421,0.936955245,1.267101847,0.501976958,0
12017.9476,532.1141374,22.58528153,0.917200213,2.638935272,0.378940708,0.957343328,1.369256189,0.495541112,0
2316.836352,203.0497936,11.41018817,0.914663043,1.644866962,0.607951903,0.91053775,1.190008164,0.695375327,0
7319.281879,438.6301185,16.68668331,0.897714984,3.968836476,0.251963014,0.967069339,1.446302979,0.486944183,0
17919.27854,535.7933999,33.44438088,0.96950903,1.225288199,0.816134523,0.875002839,1.129099376,0.629106572,0
11724.26274,465.4870746,25.18708549,0.952292093,1.488510691,0.671812441,0.919837456,1.212718277,0.635049301,0
4600.233236,297.6117435,15.45716302,0.905281303,1.416877541,0.705777296,0.928501728,1.237813475,0.649883963,0
13171.31182,553.7805189,23.78435385,0.926609068,2.517391424,0.397236596,0.956103755,1.361188359,0.501988216,0
20851.62766,604.1165355,34.51590287,0.97513133,1.889930309,0.52912004,0.905982192,1.180173369,0.638683973,0
12626.53492,529.0728985,23.86539729,0.941821088,2.731995612,0.366032799,0.95047564,1.328215339,0.514595788,0
6475.196645,427.5858329,15.14361831,0.90753964,3.043848537,0.328531459,0.972044502,1.498966387,0.453382054,0
5031.898927,325.3114428,15.46794322,0.953674071,2.106158218,0.474798138,0.943418289,1.293684734,0.538166792,0
4457.546033,365.3903406,12.19940852,0.894076312,3.298316214,0.303185,0.975516742,1.543846835,0.407445044,0
6420.406506,342.19703,18.76230926,0.943844934,2.058142839,0.485874926,0.91674346,1.204730876,0.602570168,0
5868.899215,357.8022395,16.4026341,0.947842613,2.254586713,0.44354027,0.948432445,1.317527828,0.514216751,0
4663.334725,369.3490892,12.62581894,0.968083893,4.294588341,0.232851189,0.974190325,1.5257515,0.427387045,0
9600.718005,481.5060164,19.93893675,0.913779465,2.371825376,0.421616199,0.959800947,1.386260757,0.49721244,0
4844.58484,346.3554642,13.98732037,0.958285952,2.807739765,0.356158364,0.962128194,1.40374696,0.44316696,0
7318.310245,376.1461216,19.45603005,0.94402722,2.136363593,0.468085116,0.929300124,1.240355703,0.544106119,0
7641.966101,541.5771594,14.1105768,0.92764352,5.003467633,0.199861391,0.98572808,1.747643534,0.360278007,0
16430.74362,693.0197544,23.70891091,0.935532393,3.96943642,0.251924932,0.974144474,1.525148292,0.425169651,0
25088.06173,972.6207928,25.79428891,0.747933214,3.726629858,0.268338965,0.985177915,1.732228034,0.391686222,0
